GEOID,location,name,estimate,moe,label,concept,geography
29510101300,Census Tract 1013; St. Louis city; Missouri,B08301_007,0,12,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool",MEANS OF TRANSPORTATION TO WORK,block group
29510101300,Census Tract 1013; St. Louis city; Missouri,B08301_008,0,12,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool",MEANS OF TRANSPORTATION TO WORK,block group
29510101300,Census Tract 1013; St. Louis city; Missouri,B08301_009,0,12,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool",MEANS OF TRANSPORTATION TO WORK,block group
29510101300,Census Tract 1013; St. Louis city; Missouri,B08301_010,35,58,Estimate!!Total:!!Public transportation (excluding taxicab):,MEANS OF TRANSPORTATION TO WORK,block group
29510101300,Census Tract 1013; St. Louis city; Missouri,B08301_011,35,58,Estimate!!Total:!!Public transportation (excluding taxicab):!!Bus,MEANS OF TRANSPORTATION TO WORK,block group
29510101300,Census Tract 1013; St. Louis city; Missouri,B08301_012,0,12,Estimate!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail,MEANS OF TRANSPORTATION TO WORK,block group
29510101300,Census Tract 1013; St. Louis city; Missouri,B08301_013,0,12,Estimate!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail,MEANS OF TRANSPORTATION TO WORK,block group
29510101300,Census Tract 1013; St. Louis city; Missouri,B08301_014,0,12,"Estimate!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)",MEANS OF TRANSPORTATION TO WORK,block group
29510101300,Census Tract 1013; St. Louis city; Missouri,B08301_015,0,12,Estimate!!Total:!!Public transportation (excluding taxicab):!!Ferryboat,MEANS OF TRANSPORTATION TO WORK,block group
29510101300,Census Tract 1013; St. Louis city; Missouri,B08301_016,0,12,Estimate!!Total:!!Taxicab,MEANS OF TRANSPORTATION TO WORK,block group
29510101300,Census Tract 1013; St. Louis city; Missouri,B08301_017,0,12,Estimate!!Total:!!Motorcycle,MEANS OF TRANSPORTATION TO WORK,block group
29510101300,Census Tract 1013; St. Louis city; Missouri,B08301_018,20,62,Estimate!!Total:!!Bicycle,MEANS OF TRANSPORTATION TO WORK,block group
29510101300,Census Tract 1013; St. Louis city; Missouri,B08301_019,9,16,Estimate!!Total:!!Walked,MEANS OF TRANSPORTATION TO WORK,block group
29510101300,Census Tract 1013; St. Louis city; Missouri,B08301_020,0,12,Estimate!!Total:!!Other means,MEANS OF TRANSPORTATION TO WORK,block group
29510101300,Census Tract 1013; St. Louis city; Missouri,B08301_021,185,108,Estimate!!Total:!!Worked from home,MEANS OF TRANSPORTATION TO WORK,block group
29510101400,Census Tract 1014; St. Louis city; Missouri,B08301_001,1502,394,Estimate!!Total:,MEANS OF TRANSPORTATION TO WORK,block group
29510101400,Census Tract 1014; St. Louis city; Missouri,B08301_002,1130,268,"Estimate!!Total:!!Car, truck, or van:",MEANS OF TRANSPORTATION TO WORK,block group
29510101400,Census Tract 1014; St. Louis city; Missouri,B08301_003,1008,242,"Estimate!!Total:!!Car, truck, or van:!!Drove alone",MEANS OF TRANSPORTATION TO WORK,block group
29510101400,Census Tract 1014; St. Louis city; Missouri,B08301_004,122,68,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:",MEANS OF TRANSPORTATION TO WORK,block group
29510101400,Census Tract 1014; St. Louis city; Missouri,B08301_005,122,68,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool",MEANS OF TRANSPORTATION TO WORK,block group
29510101400,Census Tract 1014; St. Louis city; Missouri,B08301_006,0,12,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool",MEANS OF TRANSPORTATION TO WORK,block group
29510101400,Census Tract 1014; St. Louis city; Missouri,B08301_007,0,12,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool",MEANS OF TRANSPORTATION TO WORK,block group
29510101400,Census Tract 1014; St. Louis city; Missouri,B08301_008,0,12,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool",MEANS OF TRANSPORTATION TO WORK,block group
29510101400,Census Tract 1014; St. Louis city; Missouri,B08301_009,0,12,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool",MEANS OF TRANSPORTATION TO WORK,block group
29510101400,Census Tract 1014; St. Louis city; Missouri,B08301_010,95,92,Estimate!!Total:!!Public transportation (excluding taxicab):,MEANS OF TRANSPORTATION TO WORK,block group
