"","GEOID","location","name","estimate","moe","label","concept","geography"
"42","295101011002","Block Group 2; Census Tract 1011; St. Louis city; Missouri","B08301_021",0,12,"Estimate!!Total:!!Worked from home","MEANS OF TRANSPORTATION TO WORK","block group"
"43","295101012001","Block Group 1; Census Tract 1012; St. Louis city; Missouri","B08301_001",745,153,"Estimate!!Total:","MEANS OF TRANSPORTATION TO WORK","block group"
"44","295101012001","Block Group 1; Census Tract 1012; St. Louis city; Missouri","B08301_002",670,136,"Estimate!!Total:!!Car, truck, or van:","MEANS OF TRANSPORTATION TO WORK","block group"
"45","295101012001","Block Group 1; Census Tract 1012; St. Louis city; Missouri","B08301_003",551,139,"Estimate!!Total:!!Car, truck, or van:!!Drove alone","MEANS OF TRANSPORTATION TO WORK","block group"
"46","295101012001","Block Group 1; Census Tract 1012; St. Louis city; Missouri","B08301_004",119,84,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:","MEANS OF TRANSPORTATION TO WORK","block group"
"47","295101012001","Block Group 1; Census Tract 1012; St. Louis city; Missouri","B08301_005",96,76,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","MEANS OF TRANSPORTATION TO WORK","block group"
"48","295101012001","Block Group 1; Census Tract 1012; St. Louis city; Missouri","B08301_006",0,12,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","MEANS OF TRANSPORTATION TO WORK","block group"
"49","295101012001","Block Group 1; Census Tract 1012; St. Louis city; Missouri","B08301_007",0,12,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","MEANS OF TRANSPORTATION TO WORK","block group"
"50","295101012001","Block Group 1; Census Tract 1012; St. Louis city; Missouri","B08301_008",23,37,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","MEANS OF TRANSPORTATION TO WORK","block group"
"51","295101012001","Block Group 1; Census Tract 1012; St. Louis city; Missouri","B08301_009",0,12,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","MEANS OF TRANSPORTATION TO WORK","block group"
"52","295101012001","Block Group 1; Census Tract 1012; St. Louis city; Missouri","B08301_010",0,12,"Estimate!!Total:!!Public transportation (excluding taxicab):","MEANS OF TRANSPORTATION TO WORK","block group"
"53","295101012001","Block Group 1; Census Tract 1012; St. Louis city; Missouri","B08301_011",0,12,"Estimate!!Total:!!Public transportation (excluding taxicab):!!Bus","MEANS OF TRANSPORTATION TO WORK","block group"
"54","295101012001","Block Group 1; Census Tract 1012; St. Louis city; Missouri","B08301_012",0,12,"Estimate!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","MEANS OF TRANSPORTATION TO WORK","block group"
